X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,default,LGD,EAD
0.025641521,0.191399975,0.160929735,0.214043435,0.297960854,0.424421994,2.662066227,1.838741891,25.83374086,-0.434526182,0.353502882,4.236882384,82.31798519,0.840803324,0,0.22938235556854486,0.41835975558019806
0.042654809,0.045051221,0.039219466,0.05587619,0.298245933,0.425000648,2.368380653,1.720529819,3.162899332,-0.356440869,0.366003488,3.859417631,86.19629541,0.870552794,0,0.16800707437652504,0.4979475294325965
0.021754459,0.048248777,0.039819747,0.058681876,0.343068821,0.522229469,1.96269773,1.455363095,3.549033603,-0.339404034,0.397319038,4.476976397,80.493231,0.825300659,0,0.2199156371893927,0.3841189517363957
-0.117882794,0.073355246,0.025140204,0.033634316,0.132316061,0.152493385,4.146137352,3.602147174,4.078947762,-20.55669668,0.429623136,2.975268642,142.3510462,0.342718557,0,0.2508401939640656,0.4564466391969564
0.204942117,0.093075342,0.158316588,0.327809551,0.53024501,1.128769297,1.423377812,1.056305769,19.98715166,0.646423905,0.333295229,7.129179374,43.52232419,1.70095091,0,0.6085042848475463,0.7483683196760146
0.192174189,0.076949731,0.124885217,0.286894022,0.591416797,1.447481912,1.299299399,0.90902559,16.11746272,0.426026382,0.468391374,6.260596113,39.84778289,1.622945464,0,0.3251356525770553,0.462757316812574
0.197415157,0.075109891,0.117080847,0.293326492,0.609059103,1.557931409,1.266673815,0.914705851,11.86142303,0.433891012,0.352053482,5.879333447,38.00361755,1.558793995,0,0.5911122016185313,0.7541340917762162
0.21345362,0.076240493,0.107872608,0.278672988,0.616264714,1.605963109,1.256976233,0.960070719,9.05454515,0.415616652,0.525272699,5.954831646,40.92998623,1.41489914,0,0.43911270525491775,1.0645489360865035
0.062917917,0.03172589,0.104664969,0.282740858,0.515300521,1.063134053,1.89136654,0.810131014,6.76451955,0.354143598,0.052040337,5.620886283,25.79452583,3.299039631,0,0.16473583855852855,0.6078269227782345
0.063554416,0.022385341,0.066406374,0.137361048,0.517762013,1.073664928,1.812597602,0.750743206,4.732485367,0.255836435,0.052076158,5.14406596,30.08352302,2.966511625,0,0.190940523598857,0.3258308286365733
0.049937648,0.015250085,0.03454328,0.377273154,0.90166682,9.169507334,1.106898777,0.738843043,2.22521881,0.081164345,2.935371074,6.532450805,33.12549169,2.265120512,0,0.5216065356741317,1.0659558778937062
0.041944897,0.012784268,0.029700562,0.308199718,0.905390738,9.569789689,1.092141249,0.875071503,2.164696076,0.062064198,4.270539655,8.547017004,36.84785368,2.323211748,0,0.7181410260444463,0.00971720446553015
0.131539629,0.071139986,0.109905482,0.25065642,0.530105221,1.128136008,1.785191239,1.129459432,7.985398742,0.556029833,0.334399857,5.131858603,53.66755511,1.544918527,0,0.3439271689123475,0.8583188997638372
0.113984505,0.049329028,0.071124838,0.156880856,0.560823503,1.276988878,1.521901159,0.800955557,6.118358401,0.329754106,0.266163239,3.959729919,54.92577105,1.441845514,0,0.4042359769296609,0.48938844792934905
0.071013592,0.015366187,0.017396657,0.032427952,0.315735882,0.461423993,2.306627621,1.414581245,2.898842126,0.244187889,0.399651795,3.241310718,51.65826964,1.132138802,0,0.16997384547354416,0.3979792085674323
0.234154414,0.145109915,0.171235919,0.268784741,0.396170768,0.656097366,1.935450797,1.244033457,20.58501126,0.628586821,0.620051147,3.26121139,19.42090146,1.180042861,0,0.18701739069608764,0.7476808764826718
0.095616277,0.025314897,0.053611683,0.140161908,0.646909473,1.832134889,1.372456264,1.103888612,2.322215205,0.256240585,0.281530348,14.93338648,106.6918123,2.117791867,0,0.6661829120957496,0.22219299297119094
0.07697407,0.021934005,0.049996068,0.136516534,0.62035286,1.634024845,1.316658502,1.117150051,3.084075311,0.305343714,0.225227461,15.65701747,85.83985563,2.279386189,0,0.43168815960031953,1.3814845249871253
0.089655982,0.027656737,0.049223518,0.131498378,0.630709779,1.707897317,1.236301937,1.060075941,3.08364608,0.302897563,0.083256682,14.9487994,114.8718922,1.779802074,0,0.5032033428278244,0.5319152853916218
0.096568695,0.025610915,0.044742302,0.114831223,0.592882061,1.456290679,1.259396078,1.100884278,3.562388125,0.323873768,0.047033442,15.76740157,93.39950641,1.747001311,0,0.342134787976362,0.4577922075506825
0.13164138,0.028981455,0.079349752,0.284948523,0.718230857,2.549004656,1.161756048,0.870413868,2.2741663,0.415917402,0.448366589,13.22228331,35.59382281,2.737949191,0,0.11705152762488819,1.2084898972668654
0.127687767,0.022150263,0.052374155,0.202274283,0.759053778,3.150303705,1.134696026,0.773235812,2.00589997,0.325709455,0.260985827,10.45265773,48.32190912,2.364493577,0,0.598042789316054,1.0834781092441705
0.133265336,0.025029046,0.070267629,0.260782013,0.700872438,2.343055356,1.225674163,0.807463402,2.490573077,0.532162564,0.212382398,11.07183158,37.08691303,2.807443382,0,0.5792921954426118,1.7804918876300306
